ParticipantID,ParticipantGroup,NotificationType,AvgErrorValue
0,A,NONE,3.171787
0,A,ANIMATION,2.991546
0,A,ICON,2.853314
0,A,COLOUR,2.924731
1,B,NONE,3.503319
1,B,ANIMATION,3.249846
1,B,ICON,3.023021
1,B,COLOUR,2.958229
2,C,NONE,3.391184
2,C,ANIMATION,3.180474
2,C,ICON,3.08716
2,C,COLOUR,3.230385
3,D,NONE,3.516077
3,D,ANIMATION,3.352363
3,D,ICON,3.145942
3,D,COLOUR,3.070561
4,A,NONE,3.224368
4,A,ANIMATION,2.984645
4,A,ICON,3.02569
4,A,COLOUR,3.070792
5,B,NONE,3.620042
5,B,ANIMATION,3.322183
5,B,ICON,3.197293
5,B,COLOUR,3.284183
6,C,NONE,3.688813
6,C,ANIMATION,3.113462
6,C,ICON,3.211312
6,C,COLOUR,2.970019
7,D,NONE,3.326293
7,D,ANIMATION,3.094559
7,D,ICON,2.890569
7,D,COLOUR,3.027977
8,A,NONE,3.888785
8,A,ANIMATION,3.514252
8,A,ICON,3.080459
8,A,COLOUR,3.134476
9,B,NONE,3.596962
9,B,ANIMATION,3.05127
9,B,ICON,3.140798
9,B,COLOUR,3.127079
10,C,NONE,3.26459
10,C,ANIMATION,2.955695
10,C,ICON,3.006297
10,C,COLOUR,3.049857
11,D,NONE,3.57598
11,D,ANIMATION,3.469315
11,D,ICON,3.277249
11,D,COLOUR,3.493446
